Tag,Content,Status
title,Kalen Life OS - Build Your Ideal Life with Notion,✓
meta description,Transform your life with Kalen Life OS — the world's most powerful Notion-based life operating system to build your ideal life.,✓
viewport,width=device-width, initial-scale=1.0,✓
og:title,Kalen Life OS - Build Your Ideal Life with Notion,✓
og:description,Transform your life with Kalen Life OS — the world's most powerful Notion-based life operating system to build your ideal life.,✓
og:image,https://www.kalenlifeos.app/social-preview.png?v=7,✓
twitter:card,summary_large_image,✓
twitter:title,Kalen Life OS - Build Your Ideal Life with Notion,✓
twitter:description,Transform your life with Kalen Life OS — the world's most powerful Notion-based life operating system to build your ideal life.,✓
twitter:image,https://www.kalenlifeos.app/social-preview.png?v=7,✓
canonical,MISSING,✗
structured-data,MISSING,✗
